"PDB","Virus","Variant","Domain","Antibody","Receptor/Other","Resolution","Release Date","Reference"
"7xxl","SARS-CoV-2","Orig","RBD","Fab14","null","7.3","2022-09-14","null"
"7v6n","MERS-CoV","null","full","111","null","3.99","2022-09-14","null"
"8czi","SARS-CoV-2","Omicron BA.2","HR1,HR2","","HR2","2.22","2022-09-07","null"
"8dzi","SARS-CoV-2","Omicron BA.1.1.529","full","MB.02","null","3.5","2022-08-31","35982661"
"8dzh","SARS-CoV-2","Omicron BA.1.1.529","full","MB.02","null","3.2","2022-08-31","35982661"
"8dv2","SARS-CoV-2","Orig","RBD","","ACE2","3.5","2022-08-31","null"
"8dv1","SARS-CoV-2","Orig","RBD","","ACE2","3.4","2022-08-31","null"
"8dm0","SARS-CoV-2","none","NTD","ab6","null","3.21","2022-08-31","35982054"
"8dlz","SARS-CoV-2","none","full","ab6","null","2.57","2022-08-31","35982054"
"8dly","SARS-CoV-2","Epsilon","NTD","ab6","null","3.0","2022-08-31","35982054"
"8dlx","SARS-CoV-2","Epsilon","full","ab6","null","2.45","2022-08-31","35982054"
"8dlw","SARS-CoV-2","none","full","S2M11","null","2.16","2022-08-31","35982054"
"8dlv","SARS-CoV-2","none","RBD","","ACE2","3.11","2022-08-31","35982054"
"8dlu","SARS-CoV-2","none","full","","ACE2","3.14","2022-08-31","35982054"
"8dlt","SARS-CoV-2","Epsilon","full","null","null","2.4","2022-08-31","35982054"
"8dls","SARS-CoV-2","none","NTD","4A8","null","2.66","2022-08-31","35982054"
"8dlr","SARS-CoV-2","Gamma","NTD","4A8","null","2.51","2022-08-31","35982054"
"8dlq","SARS-CoV-2","Gamma","RBD","","ACE2","2.77","2022-08-31","35982054"
"8dlp","SARS-CoV-2","Gamma","full","","ACE2","2.64","2022-08-31","35982054"
"8dlo","SARS-CoV-2","Gamma","full","null","null","2.25","2022-08-31","35982054"
"8dln","SARS-CoV-2","Beta","RBD","","ACE2","3.04","2022-08-31","35982054"
"8dlm","SARS-CoV-2","Beta","full","","ACE2","2.89","2022-08-31","35982054"
"8dll","SARS-CoV-2","Beta","full","null","null","2.56","2022-08-31","35982054"
"8dlk","SARS-CoV-2","none","RBD","","ACE2","3.04","2022-08-31","35982054"
"8dlj","SARS-CoV-2","Alpha","full","","ACE2","2.91","2022-08-31","35982054"
"8dli","SARS-CoV-2","Alpha","full","null","null","2.56","2022-08-31","35982054"
"7y9s","SARS-CoV-2","Omicron","full","null","null","3.0","2022-08-31","36002453"
"7xch","SARS-CoV-2","Omicron","full","","ACE2","3.4","2022-08-31","null"
"7wbz","SARS-CoV-2","Orig","RBD","Fab 2303","null","2.42","2022-08-31","35931732"
"8di5","SARS-CoV-2","Beta","RBD","F6","null","3.04","2022-08-24","35875685"
"8dad","SARS-CoV-2","none","RBD","AZ090","null","3.85","2022-08-24","null"
"7yeg","SARS-CoV-2","none","RBD","R1-32","ACE2","3.73","2022-08-24","null"
"7ye9","SARS-CoV-2","none","full","R1-32","null","4.17","2022-08-24","null"
"7ye5","SARS-CoV-2","none","full","R1-32","null","6.75","2022-08-24","null"
"7ydy","SARS-CoV-2","none","full","R1-32","null","4.75","2022-08-24","null"
"7ydi","SARS-CoV-2","Orig","RBD","R1-32","ACE2","3.98","2022-08-24","null"
"7v5k","MERS-CoV","null","full","0722","null","2.8","2022-08-24","null"
"7t67","SARS-CoV-2","Orig","full","null","null","3.0","2022-08-24","null"
"7t3m","SARS-CoV-2","Orig","full","2-7","null","3.0","2022-08-24","null"
"7ru8","SARS-CoV-2","none","RBD","CC6.30","null","3.8","2022-08-24","35971553"
"7ru5","SARS-CoV-2","none","full","CC6.30","null","3.6","2022-08-24","35971553"
"7ru4","SARS-CoV-2","none","full","CC6.33","null","3.3","2022-08-24","35971553"
"7ru3","SARS-CoV-2","none","full","CC6.33","null","3.3","2022-08-24","35971553"
"7ru2","SARS-CoV-2","none","full","null","null","3.0","2022-08-24","35971553"
"7ru1","SARS-CoV-2","none","full","null","null","2.8","2022-08-24","35971553"
"7zbu","SARS-CoV-2","Orig","RBD, SD1, SD2, NTD","P008_60","null","4.31","2022-08-17","null"
"7y9n","SARS-CoV-2","Omicron BA.2","SARS-coV-2 S2 subunit","null","null","1.89","2022-08-17","35757908"
"7x7u","SARS-CoV-2","Delta","RBD","X01, X10, X17","null","3.77","2022-08-17","null"
"7x7t","SARS-CoV-2","Orig","RBD","X01, X10, X17","null","3.48","2022-08-17","null"
"7wm0","SARS-CoV-2","Omicron","RBD","35B5","null","3.35","2022-08-17","null"
"7wa1","SARS-CoV-2","Orig","RBD","","ACE2","2.9","2022-08-17","null"
"7w8s","SARS-CoV-2","Orig","RBD","","ACE2","2.85","2022-08-17","null"
"7v3l","MERS-CoV","null","S2","","HR2P","3.47","2022-08-17","null"
"7wcd","SARS-CoV-2","Orig","full","TAU-2212","null","3.3","2022-08-10","null"
"7voa","SARS-CoV-2","Orig","RBD","aRBD5","null","1.8","2022-08-10","null"
"7v27","SARS-CoV-2","Orig","RBD","XG005","null","4.18","2022-08-10","null"
"7v24","SARS-CoV-2","none","full","N12-9","null","3.29","2022-08-10","null"
"7v23","SARS-CoV-2","none","full","N12-9","null","2.96","2022-08-10","null"
"7v22","SARS-CoV-2","none","NTD","null","null","3.38","2022-08-10","null"
"7v20","SARS-CoV-2","none","full","null","null","2.86","2022-08-10","null"
"7upy","SARS-CoV-2","Orig","full","SP1-77","null","3.44","2022-08-10","null"
"7upx","SARS-CoV-2","Orig","RBD","SP1-77","null","3.2","2022-08-10","null"
"7upw","SARS-CoV-2","Orig","RBD","SP1-77","null","3.44","2022-08-10","null"
"7upl","SARS-CoV-2","Omicron","full","002-S21F2","null","4.1","2022-08-10","null"
"7u0p","SARS-CoV-2","none","full","002-S21F2","null","3.76","2022-08-10","null"
"7fjc","SARS-CoV-2","none","RBD","P36-5D2","null","2.96","2022-08-10","null"
"8dt3","SARS-CoV-2","Orig","RBD","SW186","null","3.3","2022-08-03","null"
"8df5","SARS-CoV-2","none","RBD","S304,S309","ACE2","2.7","2022-08-03","35762884"
"7u09","SARS-CoV-2","Omicron BA.2","fusion peptide","C13B8","null","2.1","2022-08-03","35857703"
"7u0a","SARS-CoV-2","Omicron BA.2","fusion peptide","C77G12","null","1.7","2022-08-03","35857703"
"7t7b","SARS-CoV-2","Orig","RBD","ADI-62113","null","2.59","2022-08-03","null"
"7qtk","SARS-CoV-2","Omicron B.1.1.529","RBD","1-P2G3","null","3.84","2022-08-03","null"
"7qtj","SARS-CoV-2","Omicron B.1.1.529","RBD","1-P2G3,1-P5C3","null","4.01","2022-08-03","null"
"7qti","SARS-CoV-2","Omicron B.1.1.529","RBD","1-P2G3,1-P5C3","null","3.04","2022-08-03","null"
"8dao","SARS-CoV-2","Omicron BA.2","fusion peptide","COV44-79","null","2.8","2022-07-27","null"
"8d36","SARS-CoV-2","Omicron BA.2","fusion peptide","COV44-62","null","1.45","2022-07-27","null"
"8d6z","SARS-CoV-2","Omicron BA.2","fusion peptide","COV91-27","null","2.3","2022-07-27","null"
"7wz1","SARS-CoV-2","Omicron","full","null","null","3.4","2022-07-27","null"
"7p5q","SARS-CoV-2","Alpha","RBD fragment","null","null","null","2022-07-27","null"
"7p5g","SARS-CoV-2","Delta","RBD fragment","null","null","null","2022-07-27","null"
"8csa","SARS-CoV-2","Orig","full","null","null","3.84","2022-07-20","null"
"7xu6","SARS-CoV-2","Orig","full","null","null","2.9","2022-07-20","null"
"7xu5","SARS-CoV-2","Orig","full","null","null","3.1","2022-07-20","null"
"7xu4","SARS-CoV-2","Orig","full","null","null","3.2","2022-07-20","null"
"7xu3","SARS-CoV-2","Orig","full","null","null","3.0","2022-07-20","null"
"7xu2","SARS-CoV-2","Orig","full","null","null","3.2","2022-07-20","null"
"7xu1","SARS-CoV-2","Orig","full","null","null","3.0","2022-07-20","null"
"7xu0","SARS-CoV-2","Orig","full","null","null","2.9","2022-07-20","null"
"7xtz","SARS-CoV-2","Orig","full","null","null","2.8","2022-07-20","null"
"7wz2","SARS-CoV-2","Orig","full","null","null","2.7","2022-07-20","null"
"7wp2","SARS-CoV-2","none","RBD","VacW-209","null","3.52","2022-07-20","35260792"
"7wp0","SARS-CoV-2","Delta","RBD","VacW-209","null","3.71","2022-07-20","35260792"
"7woc","SARS-CoV-2","Orig","RBD","IgG 553-60","null","3.35","2022-07-20","null"
"7wob","SARS-CoV-2","Orig","full","IgG 553-60","null","3.25","2022-07-20","null"
"7woa","SARS-CoV-2","Orig","full","IgG 553-60","null","3.25","2022-07-20","null"
"7wo7","SARS-CoV-2","Orig","RBD","IgG 553-15","null","3.8","2022-07-20","null"
"7wo5","SARS-CoV-2","Orig","full","IgG 553-15","null","3.45","2022-07-20","null"
"7wo4","SARS-CoV-2","Orig","full","IgG 553-15","null","4.47","2022-07-20","null"
"7vq0","SARS-CoV-2","Orig","full","P86","null","3.03","2022-07-20","35794202"
"7sl5","SARS-CoV-2","Omicron BA.2","fusion peptide","VP12E7","null","2.5","2022-07-20","null"
"7z86","SARS-CoV-2","Orig","full","H11-H4, Q98R, H100E","null","3.4","2022-07-13","null"
"7z85","SARS-CoV-2","Orig","full","H11-B5","null","3.1","2022-07-13","null"
"7z9r","SARS-CoV-2","Orig","full","H11-H4, Q98R, H100E","null","4.2","2022-07-13","null"
"7z9q","SARS-CoV-2","Orig","full","H11-A10","null","3.6","2022-07-13","null"
"7z7x","SARS-CoV-2","Orig","full","H11-H6","null","3.3","2022-07-13","null"
"7z6v","SARS-CoV-2","Orig","full","H11","null","3.1","2022-07-13","null"
"7xns","SARS-CoV-2","Omicron BA.2.12.1","full","null","null","3.48","2022-07-13","35714668"
"7xnr","SARS-CoV-2","Omicron BA.2.13","full","null","null","3.49","2022-07-13","35714668"
"7xnq","SARS-CoV-2","Omicron BA.4","full","null","null","3.52","2022-07-13","35714668"
"7xiy","SARS-CoV-2","Omicron BA.3","full","null","null","3.07","2022-07-13","35714668"
"7xix","SARS-CoV-2","Omicron BA.2","full","null","null","3.25","2022-07-13","35714668"
"7xiw","SARS-CoV-2","Omicron BA.2","full","null","null","3.62","2022-07-13","35714668"
"7x6a","SARS-CoV-2","Omicron BA.2","full","BD55-5840","null","3.5","2022-07-13","35714668"
"7wp1","SARS-CoV-2","none","RBD","VacW-209","null","3.77","2022-07-13","35260792"
"7won","SARS-CoV-2","Orig","RBD","VacW-209","null","3.9","2022-07-13","35260792"
"7wjz","SARS-CoV-2","Omicron","bitrimer","6m6","null","3.34","2022-07-13","35768499"
"7wjy","SARS-CoV-2","Omicron","full","6m6","null","3.24","2022-07-13","35768499"
"7p19","SARS-CoV-2","Orig","RBD","","ACE2","3.24","2022-07-13","null"
"7fb4","SARS-CoV-2","Orig","full","null","null","3.4","2022-07-13","null"
"7fb3","SARS-CoV-2","Orig","full","null","null","3.1","2022-07-13","null"
"7fb1","SARS-CoV-2","Orig","full","null","null","3.7","2022-07-13","null"
"7fb0","SARS-CoV-2","Orig","full","null","null","3.4","2022-07-13","null"
"8dcc","SARS-CoV-2","none","RBD","P2B-2F6","null","2.6","2022-07-06","34013270"
"8cyj","SARS-CoV-2","Orig","RBD","2-10, 2-67, 2-62, 1-25","null","3.6","2022-07-06","35738279"
"8cyd","SARS-CoV-2","Orig","full","2-45","null","2.6","2022-07-06","35738279"
"8cyc","SARS-CoV-2","Orig","full","2-34","null","2.9","2022-07-06","35738279"
"8cyb","SARS-CoV-2","Orig","full","1-8","null","2.7","2022-07-06","35738279"
"8cya","SARS-CoV-2","Orig","full","2-67","null","2.7","2022-07-06","35738279"
"8cy9","SARS-CoV-2","Orig","full","2-67","null","2.9","2022-07-06","35738279"
"8cy7","SARS-CoV-2","Orig","full","2-34","null","2.9","2022-07-06","35738279"
"8cy6","SARS-CoV-2","Orig","full","2-65","null","3.2","2022-07-06","35738279"
"8cxq","SARS-CoV-2","Orig","full","1-22","null","2.3","2022-07-06","35738279"
"8cxn","SARS-CoV-2","Orig","full","2-57","null","2.9","2022-07-06","35738279"
"8cwv","SARS-CoV-2","Orig","RBD","2-31, CC12.1","null","2.51","2022-07-06","35738279"
"8cwu","SARS-CoV-2","Orig","RBD","1-21","null","1.71","2022-07-06","35738279"
"7y42","SARS-CoV-2","Orig","full","null","null","3.45","2022-07-06","null"
"8dce","SARS-CoV-2","none","RBD","C144","null","2.0","2022-06-29","null"
"7xh8","SARS-CoV-2","Omicron","RBD","ZCB11","null","2.99","2022-06-29","null"
"7w1s","SARS-CoV-2","Orig","RBD","Nb-007","null","2.0","2022-06-29","35663966"
"7f6z","SARS-CoV-2","Beta","RBD","BD-503","null","3.0","2022-06-29","null"
"7f6y","SARS-CoV-2","Orig","RBD","BD-503","null","3.0","2022-06-29","null"
"7f5h","SARS-CoV-2","Orig","RBD","DL28","null","3.0","2022-06-29","null"
"7wro","SARS-CoV-2","Delta","RBD","BD55-3372","null","3.4","2022-06-22","null"
"7whz","SARS-CoV-2","Orig","RBD","XMA04, XMA01, XMA09","null","3.42","2022-06-22","35594869"
"7wgc","SARS-CoV-2","Omicron","RBD","","ACE2","3.6","2022-06-22","35120603"
"7wgb","SARS-CoV-2","Omicron","full","","ACE2","3.5","2022-06-22","35120603"
"7wg9","SARS-CoV-2","Delta","full","null","null","3.5","2022-06-22","35120603"
"7wg8","SARS-CoV-2","Delta","full","null","null","3.9","2022-06-22","35120603"
"7wg7","SARS-CoV-2","Omicron","full","null","null","4.0","2022-06-22","35120603"
"7vrw","SARS-CoV-2","none","full","null","null","3.6","2022-06-22","null"
"7vrv","SARS-CoV-2","none","full","null","null","4.2","2022-06-22","null"
"7fc5","SARS-CoV-2","Orig","RBD","","ACE2","2.89","2022-06-22","null"
"7f5r","SARS-CoV-2","Orig","RBD","","ACE2","3.01","2022-06-22","null"
"7f3q","SARS-CoV-2","Orig","RBD","A5-10, A34-2","null","3.3","2022-06-22","null"
"7xod","SARS-CoV-2","Omicron BA.2","full","JMB2002, Nanobody","null","3.27","2022-06-15","null"
"7xoc","SARS-CoV-2","Omicron BA.2","RBD","","ACE2","3.0","2022-06-15","null"
"7xob","SARS-CoV-2","Omicron BA.2","full","","ACE2","3.3","2022-06-15","null"
"7xoa","SARS-CoV-2","Omicron BA.2","full","","ACE2","3.2","2022-06-15","null"
"7xo9","SARS-CoV-2","Omicron BA.2","RBD","","ACE2","3.0","2022-06-15","null"
"7xo8","SARS-CoV-2","Omicron BA.2","full","","ACE2","3.48","2022-06-15","null"
"7xo7","SARS-CoV-2","Omicron BA.2","full","","ACE2","3.38","2022-06-15","null"
"7xo6","SARS-CoV-2","Omicron BA.1","RBD","","ACE2","2.6","2022-06-15","35641567"
"7xo5","SARS-CoV-2","Omicron BA.1","full","","ACE2","3.13","2022-06-15","35641567"
"7xo4","SARS-CoV-2","Omicron BA.1","full","","ACE2","3.24","2022-06-15","35641567"
"7xid","SARS-CoV-2","Omicron","full","","ACE2","3.3","2022-06-15","35607524"
"7xic","SARS-CoV-2","Omicron","full","STS165","null","3.3","2022-06-15","35607524"
"7fcq","SARS-CoV-2","Orig","RBD","P14-44","null","1.89","2022-06-15","35108220"
"7fcp","SARS-CoV-2","Orig","RBD","P14-44,P5-22","null","2.4","2022-06-15","35108220"
"7f15","SARS-CoV-2","none","RBD","neutralizing antibody","null","2.65","2022-06-15","null"
"7f12","SARS-CoV-2","none","RBD","neutralizing antibody","null","3.15","2022-06-15","null"
"7f7h","SARS-CoV-2","Orig","RBD","A8-1","null","3.19","2022-06-15","null"
"7f0x","SARS-CoV-2","Orig","RBD","neutralizing antibody","null","2.8","2022-06-15","null"
"7wri","SARS-CoV-2","Omicron","RBD","","ACE2","3.03","2022-06-08","null"
"7w6u","SARS-CoV-2","Orig","RBD","","ACE2","2.56","2022-06-08","null"
"7uhc","SARS-CoV-2","none","full","","AHB2-2GS-SB175 inhibitor","3.1","2022-06-08","35412328"
"7uhb","SARS-CoV-2","none","RBD","","AHB2-2GS-SB175 inhibitor","3.0","2022-06-08","35412328"
"7r4r","SARS-CoV-2","Orig","full","1.10 nanobody","null","3.9","2022-06-08","35547740"
"7r4q","SARS-CoV-2","Orig","full","1.29 nanobody","null","3.6","2022-06-08","35547740"
"7r4i","SARS-CoV-2","Orig","full","2.15 nanobody","null","3.2","2022-06-08","35547740"
"7qus","SARS-CoV-2","Orig","full","null","null","2.39","2022-06-08","null"
"7zrc","SARS-CoV-2","Beta","full","Omi-38","null","3.5","2022-06-01","null"
"7zr9","SARS-CoV-2","Beta","full","Omi-2","null","4.0","2022-06-01","null"
"7zr8","SARS-CoV-2","Beta","RBD","Omi-38","null","3.7","2022-06-01","null"
"7zr7","SARS-CoV-2","Beta","RBD","Omi-42","null","3.7","2022-06-01","null"
"7zfc","SARS-CoV-2","Beta","RBD","Omi-18, Nanobody C1","null","3.24","2022-06-01","null"
"7wwm","SARS-CoV-2","Delta","full","ZWC6","null","2.8","2022-06-01","35478188"
"7wwl","SARS-CoV-2","Delta","full","ZWD12","null","3.0","2022-06-01","35478188"
"7ws9","SARS-CoV-2","Omicron","full","","ACE2","2.9","2022-06-01","35477022"
"7ws8","SARS-CoV-2","Omicron","full","","ACE2","3.0","2022-06-01","35477022"
"7ws7","SARS-CoV-2","Wild","RBD","510A5","null","3.4","2022-06-01","35477022"
"7ws5","SARS-CoV-2","Omicron","full","510A5","null","3.7","2022-06-01","35477022"
"7ws4","SARS-CoV-2","Omicron","full","510A5","null","3.7","2022-06-01","35477022"
"7ws3","SARS-CoV-2","Delta","full","510A5","null","3.6","2022-06-01","35477022"
"7ws2","SARS-CoV-2","Wild","RBD","510A5","null","3.3","2022-06-01","35477022"
"7ws1","SARS-CoV-2","Wild","full","510A5","null","3.4","2022-06-01","35477022"
"7ws0","SARS-CoV-2","Wild","full","510A5","null","3.2","2022-06-01","35477022"
"7qur","SARS-CoV-2","Orig","full","null","null","2.27","2022-06-01","null"
"7fau","SARS-CoV-2","none","RBD","NB1B11","null","2.08","2022-06-01","35276082"
"7x7o","SARS-CoV-2","Orig","RBD","UT28K","null","3.75","2022-05-25","35543180"
"7wlz","SARS-CoV-2","Omicron","full","35B5","null","2.98","2022-05-25","35436443"
"7wly","SARS-CoV-2","Omicron","full","35B5","null","3.4","2022-05-25","35436443"
"7qdh","SARS-CoV-2","Orig","full","null","null","4.2","2022-05-25","null"
"7qdg","SARS-CoV-2","Orig","full","null","null","3.4","2022-05-25","null"
"7mxp","SARS-CoV-2","Orig","full","LP5","null","4.46","2022-05-25","null"
"7f5g","SARS-CoV-2","Orig","RBD","DL4","null","1.75","2022-05-25","35460753"
"7zdq","SARS-CoV-2","none","RBD","","ACE2","3.2","2022-05-18","null"
"7wg6","SARS-CoV-2","Omicron","full","null","null","3.4","2022-05-18","null"
"7qf1","SARS-CoV-2","none","RBD","CV2.6264","null","2.8","2022-05-18","null"
"7qf0","SARS-CoV-2","none","RBD","CV2.6264","null","2.3","2022-05-18","null"
"7qez","SARS-CoV-2","none","RBD","CV2.1169, CR3022","null","2.89","2022-05-18","null"
"7fat","SARS-CoV-2","none","RBD","NB1A7","null","1.99","2022-05-18","null"
"7epx","SARS-CoV-2","Orig","full","GW01","null","3.0","2022-05-18","35443747"
"7x9e","SARS-CoV-2","Omicron BA.2","Spike peptide 809-823","76E1","null","2.6","2022-05-11","null"
"7whk","SARS-CoV-2","Omicron","full","Bn03_nano1,Bn03_nano2","null","3.01","2022-05-11","35344711"
"7whj","SARS-CoV-2","Omicron","full","Bn03_nano1,Bn03_nano2","null","3.27","2022-05-11","35344711"
"7whi","SARS-CoV-2","Omicron","full","Bn03_nano1,Bn03_nano2","null","2.93","2022-05-11","35344711"
"7sbu","SARS-CoV-2","Orig","RBD","J08","null","2.53","2022-05-11","null"
"7s6l","SARS-CoV-2","none","full","J08","null","4.0","2022-05-11","null"
"7s6k","SARS-CoV-2","none","full","J08","null","3.4","2022-05-11","null"
"7s6j","SARS-CoV-2","none","full","J08","null","3.4","2022-05-11","null"
"7s6i","SARS-CoV-2","none","full","null","null","3.2","2022-05-11","null"
"7z3z","SARS-CoV-2","Wild","full","null","null","3.1","2022-05-04","null"
"7wee","SARS-CoV-2","Omicron","RBD","XGv265","null","4.0","2022-05-04","35090164"
"7wec","SARS-CoV-2","Omicron","full","XGv347","null","3.3","2022-05-04","35090164"
"7web","SARS-CoV-2","Omicron","full","XGv347","null","3.7","2022-05-04","35090164"
"7wea","SARS-CoV-2","Omicron","full","XGv347","null","3.3","2022-05-04","35090164"
"7we9","SARS-CoV-2","Omicron","full","XGv289","null","3.6","2022-05-04","35090164"
"7we8","SARS-CoV-2","Omicron","full","XGv265","null","3.5","2022-05-04","35090164"
"7we7","SARS-CoV-2","Omicron","full","XGv282","null","3.8","2022-05-04","35090164"
"7urs","SARS-CoV-2","Delta","RBD","CoV11","null","2.4","2022-05-04","null"
"7urq","SARS-CoV-2","Delta","RBD","CoV11","null","2.05","2022-05-04","null"
"7u2e","SARS-CoV-2","Orig","RBD","ADI-55688","null","2.85","2022-05-04","35313576"
"7u2d","SARS-CoV-2","Orig","RBD","ADG20","null","2.76","2022-05-04","35313576"
"7rbv","SARS-CoV-2","none","full","PVI.V6-14","null","3.6","2022-05-04","35467422"
"7rbu","SARS-CoV-2","Kappa","NTD","PVI.V6-14","null","3.7","2022-05-04","35467422"
"7x7n","SARS-CoV-2","Orig","full","","SIH-5 synthetic peptide","4.47","2022-04-27","null"
"7uar","SARS-CoV-2","none","full","C1717","null","3.5","2022-04-27","null"
"7uaq","SARS-CoV-2","none","NTD","C1052","null","3.1","2022-04-27","null"
"7uap","SARS-CoV-2","none","full","C1052","null","2.8","2022-04-27","null"
"7swp","SARS-CoV-2","Orig","RBD","G32Q4","null","3.8","2022-04-27","null"
"7swo","SARS-CoV-2","Orig","RBD","C98C7","null","4.1","2022-04-27","null"
"7swn","SARS-CoV-2","Orig","RBD","G32A4","null","4.3","2022-04-27","null"
"7si2","SARS-CoV-2","Orig","RBD","10-28","null","3.2","2022-04-27","null"
"7sd5","SARS-CoV-2","Orig","RBD","10-40","null","1.53","2022-04-27","null"
"7fjs","SARS-CoV-2","Beta","RBD","T6","null","2.9","2022-04-27","35291264"
"7fjn","SARS-CoV-2","Beta","full","T6","null","3.25","2022-04-27","35291264"
"7x7e","SARS-CoV-2","Orig","RBD","Nb22","null","2.67","2022-04-20","null"
"7ub6","SARS-CoV-2","Omicron BA.2","full","null","null","3.52","2022-04-20","null"
"7ub5","SARS-CoV-2","Omicron BA.2","full","null","null","3.35","2022-04-20","null"
"7ub0","SARS-CoV-2","Omicron BA.2","full","null","null","3.31","2022-04-20","null"
"7tpr","SARS-CoV-2","none","full","7A3, 8A2","null","2.39","2022-04-20","34751270"
"7rq6","SARS-CoV-2","none","full","CV3-13","null","4.18","2022-04-20","null"
"7r40","SARS-CoV-2","Orig","full","87G7","null","2.9","2022-04-20","null"
"7z0y","SARS-CoV-2","Orig","RBD","THSC20.HVTR04","null","2.95","2022-04-13","null"
"7z0x","SARS-CoV-2","Orig","RBD","THSC20.HVTR26","null","1.8","2022-04-13","null"
"7x7d","SARS-CoV-2","Delta","RBD","Nb22","null","2.92","2022-04-13","null"
"7t01","SARS-CoV-2","Orig","RBD","Fab 54042-4","null","2.69","2022-04-13","34592170"
"7raq","SARS-CoV-2","Omicron BA.2","Stem helix","CV3-25","null","1.74","2022-04-13","null"
"7fjo","SARS-CoV-2","Beta","full","T6","null","3.34","2022-04-13","35291264"
"7ek0","SARS-CoV-2","Alpha","RBD","BD-503","null","2.7","2022-04-13","null"
"7ejz","SARS-CoV-2","Orig","RBD","BD-503","null","3.63","2022-04-13","null"
"7ejy","SARS-CoV-2","Orig","RBD","BD-503","null","3.04","2022-04-13","null"
"7wvq","SARS-CoV-2","Omicron","full","","ACE2","4.04","2022-04-06","null"
"7wvp","SARS-CoV-2","Omicron","full","","ACE2","3.7","2022-04-06","null"
"7tik","SARS-CoV-2","Omicron BA.2","S2 post fusion subunit","null","null","2.4","2022-04-06","null"
"7rzv","SARS-CoV-2","Gamma","HR","null","null","2.11","2022-04-06","null"
"7rzu","SARS-CoV-2","Omicron BA.2","HR","null","null","2.3","2022-04-06","null"
"7rzt","SARS-CoV-2","Omicron BA.2","HR","null","null","2.35","2022-04-06","null"
"7rzs","SARS-CoV-2","Omicron BA.2","HR","null","null","2.52","2022-04-06","null"
"7rzr","SARS-CoV-2","Omicron BA.2","HR","null","null","2.27","2022-04-06","null"
"7rzq","SARS-CoV-2","Omicron BA.2","HR","null","null","2.09","2022-04-06","null"
"7eng","SARS-CoV-2","none","RBD","Fab30","null","3.59","2022-04-06","null"
"7enf","SARS-CoV-2","none","full","Fab30","null","2.76","2022-04-06","null"
"7e9n","SARS-CoV-2","Orig","full","35B5","null","3.69","2022-04-06","null"
"7wph","SARS-CoV-2","Orig","RBD","Fab06","null","2.89","2022-03-30","35132410"
"7tf5","SARS-CoV-2","none","full","null","null","3.16","2022-03-30","35136050"
"7tf4","SARS-CoV-2","none","RBD","null","null","3.01","2022-03-30","35136050"
"7tf3","SARS-CoV-2","none","full","null","null","2.25","2022-03-30","35136050"
"7tf2","SARS-CoV-2","none","full","null","null","3.62","2022-03-30","35136050"
"7tf1","SARS-CoV-2","none","RBD","null","null","3.57","2022-03-30","35136050"
"7tf0","SARS-CoV-2","none","full","","ACE2","3.02","2022-03-30","35136050"
"7tex","SARS-CoV-2","none","full","","ACE2","3.27","2022-03-30","35136050"
"7te1","SARS-CoV-2","Orig","RBD","Ab17","null","3.5","2022-03-30","35303475"
"7tcc","SARS-CoV-2","Omicron","full","B1-182.1, A19-46.1","null","3.86","2022-03-30","null"
"7tca","SARS-CoV-2","Omicron","full","A19-46.1","null","3.85","2022-03-30","null"
"7tbf","SARS-CoV-2","Omicron","full","B1-182.1, A19-61.1","null","3.1","2022-03-30","null"
"7tb8","SARS-CoV-2","Omicron","full","B1-182.1, A19-61.1","null","2.83","2022-03-30","null"
"7z1e","SARS-CoV-2","null","RBD","H11-H4","null","1.59","2022-03-23","null"
"7z1d","SARS-CoV-2","null","RBD","H11-H4","null","1.55","2022-03-23","null"
"7z1c","SARS-CoV-2","Orig","RBD","H11-B5, H11-F2","null","1.9","2022-03-23","null"
"7z1b","SARS-CoV-2","Orig","RBD","H11-A10, F2","null","2.3","2022-03-23","null"
"7z1a","SARS-CoV-2","Orig","RBD","H11, F2","null","2.59","2022-03-23","null"
"7wuh","SARS-CoV-2","Orig","full","m31A7","null","4.7","2022-03-23","35230146"
"7wrv","SARS-CoV-2","Omicron","RBD","JMB2002","null","2.47","2022-03-23","35133176"
"7wpe","SARS-CoV-2","Omicron","full","JMB2002","null","2.69","2022-03-23","35133176"
"7rby","SARS-CoV-2","Orig","RBD","nb112","null","2.82","2022-03-23","null"
"7f46","SARS-CoV-2","none","RBD, NTD","35B5","null","4.79","2022-03-23","null"
"7e9p","SARS-CoV-2","none","RBD","35B5","null","3.69","2022-03-23","null"
"7wue","SARS-CoV-2","Orig","RBD","m31A7","null","3.2","2022-03-16","35230146"
"7wpf","SARS-CoV-2","Omicron","full","JMB2002","null","2.92","2022-03-16","35133176"
"7wpd","SARS-CoV-2","Omicron","full","JMB2002","null","3.18","2022-03-16","35133176"
"7tez","SARS-CoV-2","none","RBD","","ACE2","3.27","2022-03-16","35136050"
"7tey","SARS-CoV-2","Delta","full","null","null","2.25","2022-03-16","35136050"
"7tew","SARS-CoV-2","none","RBD","","ACE2","3.52","2022-03-16","35136050"
"7owx","SARS-CoV-2","Omicron BA.2","Stem helix","null","null","1.93","2022-03-16","35157347"
"7mw6","SARS-CoV-2","Orig","full","antibody clone 2","null","3.22","2022-03-16","null"
"7mw5","SARS-CoV-2","Orig","full","antibody clone 2","null","3.42","2022-03-16","null"
